E_L93	N_L93	nb_m2	g_m2	Nb_0.25m2	g_0.25m2	Points	Annee
372633.921	6410188.674	32	333.776213931648	8	83.4440534829119	H_10	2003
372870.77	6411177.321	10	188.19	2.5	47.0475	H_11	2003
373110.18	6410701.333	16	137.133198345114	4	34.2832995862785	H_2	2003
372539.707	6410156.536	160	1362.09387448276	40	340.52346862069	H_3	2003
372815.567	6410123.541	14	137.84	3.5	34.46	H_4	2003
372389.674	6410572.245	112	1000.56282059581	28	250.140705148954	H_5	2003
373083.45	6410443.199	78	694.506	19.5	173.6265	H_6	2003
372471.279	6410364.044	2	18.4375347126182	0.5	4.60938367815455	H_7	2003
372908.216	6410378.221	2	31.3	0.5	7.825	H_8	2003
372551.339	6410378.384	28	258.125485976655	7	64.5313714941637	H_9	2003
375724.044	6408859.592	2	15.86	0.5	3.965	S1_1	2003
375433.712	6408615.142	0	0	0	0,0	S1_10	2003
376278.547	6408589.841	30	201.22	7.5	50.305	S1_11	2003
375054.218	6408690.484	112	823.039530555371	28	205.759882638843	S1_12	2003
375195.269	6409369.048	10	68.22	2.5	17.055	S1_13	2003
375459.384	6408854.8	122	689.5495219156	30.5	172.3873804789	S1_14	2003
375719.245	6408767.153	80	551.575183558965	20	137.893795889741	S1_15	2003
375575.684	6409312.203	10	91.82	2.5	22.955	S1_16	2003
375316.539	6409158.828	0	0	0	0,0	S1_17	2003
375058.342	6409023.951	0	0	0	0,0	S1_18	2003
375936.922	6408885.62	30	220.82	7.5	55.205	S1_19	2003
375935.49	6409367.675	12	75.18	3	18.795	S1_2	2003
375992.062	6409438.89	116	819.050934016199	29	204.76273350405	S1_20	2003
376042.88	6409399.18	26	194.749735713436	6.5	48.6874339283589	S1_3	2003
376162.493	6409411.514	46	286.64	11.5	71.66	S1_4	2003
375343.601	6408916.43	22	94.8417240122888	5.5	23.7104310030722	S1_5	2003
375296.628	6409030.098	0	0	0	0,0	S1_6	2003
375249.656	6409143.767	2	11.1	0.5	2.775	S1_7	2003
376325.034	6408976.723	76	341.878823529412	19	85.4697058823529	S1_8	2003
375330.416	6408917.115	52	346.94	13	86.735	S1_9	2003
379971.781	6405841.412	12	175.8	6	87.9	S4_1	2003
379383.949	6406242.289	0	0	0	0,0	S4_10	2003
379420.886	6403867.61	26	57.6897322306921	13	28.844866115346	S4_11	2003
379603.87	6404340.203	8	46.3814753975632	4	23.1907376987816	S4_12	2003
